fish_id,station,dist_mean,dist_sd,dist_var_coef,step_mean,step_max,temperature,shift_duration,shift,day,shift_id
EM0006,TOR05,71.21,7.24,0.1,4.23,13.47,22.9,2,"[11,13)",14/10/2021,"2021-10-14 [11,13)"
EM0004,TOR05,63.55,13.8,0.22,19.52,19.52,22.75,2,"[11,13)",14/10/2021,"2021-10-14 [11,13)"
EM0002,TOR05,73.91,28.69,0.39,40.58,40.58,22.8,2,"[11,13)",14/10/2021,"2021-10-14 [11,13)"
EM0005,TOR05,108.64,8.96,0.08,6.36,22.57,22.817,2,"[11,13)",14/10/2021,"2021-10-14 [11,13)"
EM0001,TOR05,175.19,NA,NA,NA,#¿NOMBRE?,22.4,2,"[11,13)",14/10/2021,"2021-10-14 [11,13)"
EM0006,TOR05,52.4,11.46,0.22,5.67,38.27,23.293,5,"[13,18)",14/10/2021,"2021-10-14 [13,18)"
EM0005,TOR05,113.34,12.18,0.11,6.71,27.6,23.276,5,"[13,18)",14/10/2021,"2021-10-14 [13,18)"
EM0002,TOR05,71.69,17.87,0.25,18.09,51.05,23.307,5,"[13,18)",14/10/2021,"2021-10-14 [13,18)"
EM0004,TOR05,58.64,6.92,0.12,5.77,31.08,23.296,5,"[13,18)",14/10/2021,"2021-10-14 [13,18)"
EM0001,TOR05,110.03,9.38,0.09,5.22,41.86,23.271,5,"[13,18)",14/10/2021,"2021-10-14 [13,18)"
EM0003,TOR05,125.11,3.18,0.03,3.37,13.35,23.292,5,"[13,18)",14/10/2021,"2021-10-14 [13,18)"
EM0006,TOR05,75.06,13.88,0.18,8.15,37.42,23.352,4,"[19,23)",14/10/2021,"2021-10-14 [19,23)"
EM0004,TOR05,61.78,8.99,0.15,7.27,20.88,23.337,4,"[19,23)",14/10/2021,"2021-10-14 [19,23)"
EM0003,TOR05,125.35,5.8,0.05,8.31,15.22,23.35,4,"[19,23)",14/10/2021,"2021-10-14 [19,23)"
EM0005,TOR05,109.52,16.01,0.15,14.85,45.86,23.336,4,"[19,23)",14/10/2021,"2021-10-14 [19,23)"
EM0001,TOR05,91.57,13.55,0.15,10.08,26.9,23.328,4,"[19,23)",14/10/2021,"2021-10-14 [19,23)"
EM0002,TOR05,72.05,24.65,0.34,22.47,67.98,23.337,4,"[19,23)",14/10/2021,"2021-10-14 [19,23)"
EM0005,TOR05,112.97,12.55,0.11,4.55,33.82,23.239,3,"[8,11)",15/10/2021,"2021-10-15 [8,11)"
EM0006,TOR05,67.4,14.07,0.21,11.24,54.28,23.25,3,"[8,11)",15/10/2021,"2021-10-15 [8,11)"
EM0001,TOR05,117.74,15.88,0.13,7.12,39.47,23.229,3,"[8,11)",15/10/2021,"2021-10-15 [8,11)"
EM0003,TOR05,123.58,3.95,0.03,3.67,13.95,23.253,3,"[8,11)",15/10/2021,"2021-10-15 [8,11)"
EM0004,TOR05,58.42,7.33,0.13,8.51,30.56,23.246,3,"[8,11)",15/10/2021,"2021-10-15 [8,11)"
EM0002,TOR05,91.15,15.79,0.17,13.77,38.8,23.254,3,"[8,11)",15/10/2021,"2021-10-15 [8,11)"
EM0001,TOR04,109.79,21.63,0.2,8.05,36.56,23.171,2,"[11,13)",15/10/2021,"2021-10-15 [11,13)"
EM0006,TOR05,59.25,9.94,0.17,10.02,25.38,23.292,2,"[11,13)",15/10/2021,"2021-10-15 [11,13)"
EM0004,TOR05,62.11,5.96,0.1,6.86,18.45,23.288,2,"[11,13)",15/10/2021,"2021-10-15 [11,13)"
EM0002,TOR05,77.95,12.23,0.16,7.57,21.24,23.3,2,"[11,13)",15/10/2021,"2021-10-15 [11,13)"
EM0003,TOR05,122.09,3.87,0.03,3.1,7.18,23.3,2,"[11,13)",15/10/2021,"2021-10-15 [11,13)"
EM0005,TOR05,118.95,9.27,0.08,8.51,19.62,23.288,2,"[11,13)",15/10/2021,"2021-10-15 [11,13)"
EM0006,TOR05,59.03,11.4,0.19,11.46,50.53,23.218,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0005,TOR05,105.03,10.57,0.1,11.25,43.68,23.206,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
EM0001,TOR05,107.29,10.79,0.1,5.73,38.31,23.191,5,"[13,18)",15/10/2021,"2021-10-15 [13,18)"
