day,shift,divers,shift_id
13/02/2021,"[11,13)",0,"2021-02-13 [11,13)"
13/02/2021,"[13,18)",0,"2021-02-13 [13,18)"
13/02/2021,"[19,23)",0,"2021-02-13 [19,23)"
13/02/2021,"[8,11)",12,"2021-02-13 [8,11)"
14/02/2021,"[11,13)",0,"2021-02-14 [11,13)"
14/02/2021,"[13,18)",0,"2021-02-14 [13,18)"
14/02/2021,"[19,23)",0,"2021-02-14 [19,23)"
14/02/2021,"[8,11)",0,"2021-02-14 [8,11)"
15/02/2021,"[11,13)",0,"2021-02-15 [11,13)"
15/02/2021,"[13,18)",0,"2021-02-15 [13,18)"
15/02/2021,"[19,23)",0,"2021-02-15 [19,23)"
15/02/2021,"[8,11)",0,"2021-02-15 [8,11)"
16/02/2021,"[11,13)",0,"2021-02-16 [11,13)"
16/02/2021,"[13,18)",0,"2021-02-16 [13,18)"
16/02/2021,"[19,23)",0,"2021-02-16 [19,23)"
16/02/2021,"[8,11)",0,"2021-02-16 [8,11)"
17/02/2021,"[11,13)",0,"2021-02-17 [11,13)"
17/02/2021,"[13,18)",0,"2021-02-17 [13,18)"
17/02/2021,"[19,23)",0,"2021-02-17 [19,23)"
17/02/2021,"[8,11)",0,"2021-02-17 [8,11)"
18/02/2021,"[11,13)",0,"2021-02-18 [11,13)"
18/02/2021,"[13,18)",0,"2021-02-18 [13,18)"
18/02/2021,"[19,23)",0,"2021-02-18 [19,23)"
18/02/2021,"[8,11)",0,"2021-02-18 [8,11)"
19/02/2021,"[11,13)",0,"2021-02-19 [11,13)"
19/02/2021,"[13,18)",0,"2021-02-19 [13,18)"
19/02/2021,"[19,23)",0,"2021-02-19 [19,23)"
19/02/2021,"[8,11)",0,"2021-02-19 [8,11)"
20/02/2021,"[11,13)",0,"2021-02-20 [11,13)"
20/02/2021,"[13,18)",0,"2021-02-20 [13,18)"
20/02/2021,"[19,23)",0,"2021-02-20 [19,23)"
20/02/2021,"[8,11)",12,"2021-02-20 [8,11)"
21/02/2021,"[11,13)",0,"2021-02-21 [11,13)"
21/02/2021,"[13,18)",0,"2021-02-21 [13,18)"
21/02/2021,"[19,23)",0,"2021-02-21 [19,23)"
21/02/2021,"[8,11)",0,"2021-02-21 [8,11)"
22/02/2021,"[11,13)",0,"2021-02-22 [11,13)"
22/02/2021,"[13,18)",0,"2021-02-22 [13,18)"
22/02/2021,"[19,23)",0,"2021-02-22 [19,23)"
22/02/2021,"[8,11)",0,"2021-02-22 [8,11)"
23/02/2021,"[11,13)",0,"2021-02-23 [11,13)"
23/02/2021,"[13,18)",0,"2021-02-23 [13,18)"
23/02/2021,"[19,23)",0,"2021-02-23 [19,23)"
23/02/2021,"[8,11)",0,"2021-02-23 [8,11)"
24/02/2021,"[11,13)",0,"2021-02-24 [11,13)"
24/02/2021,"[13,18)",0,"2021-02-24 [13,18)"
24/02/2021,"[19,23)",0,"2021-02-24 [19,23)"
24/02/2021,"[8,11)",0,"2021-02-24 [8,11)"
25/02/2021,"[11,13)",0,"2021-02-25 [11,13)"
25/02/2021,"[13,18)",0,"2021-02-25 [13,18)"
25/02/2021,"[19,23)",0,"2021-02-25 [19,23)"
25/02/2021,"[8,11)",0,"2021-02-25 [8,11)"
26/02/2021,"[11,13)",0,"2021-02-26 [11,13)"
26/02/2021,"[13,18)",0,"2021-02-26 [13,18)"
26/02/2021,"[19,23)",0,"2021-02-26 [19,23)"
26/02/2021,"[8,11)",0,"2021-02-26 [8,11)"
27/02/2021,"[11,13)",20,"2021-02-27 [11,13)"
27/02/2021,"[13,18)",0,"2021-02-27 [13,18)"
27/02/2021,"[19,23)",0,"2021-02-27 [19,23)"
27/02/2021,"[8,11)",32,"2021-02-27 [8,11)"
28/02/2021,"[11,13)",0,"2021-02-28 [11,13)"
28/02/2021,"[13,18)",0,"2021-02-28 [13,18)"
28/02/2021,"[19,23)",0,"2021-02-28 [19,23)"
28/02/2021,"[8,11)",12,"2021-02-28 [8,11)"
